Soil_Type;Soil_pH;Soil_Moisture;Organic_Carbon;Electrical_Conductivity;Nitrogen_Level;Phosphorus_Level;Potassium_Level;Temperature;Humidity;Rainfall;Crop_Type;Crop_Growth_Stage;Season;Irrigation_Type;Previous_Crop;Region;Fertilizer_Used_Last_Season;Yield_Last_Season;Recommended_Fertilizer
Clay;529;5352;9;284;135;89;47;3445;6293;45949;Maize;Flowering;Rabi;Drip;Potato;Central;7975;789;Compost
Loamy;772;4879;97;273;147;68;64;2603;6575;93613;Sugarcane;Sowing;Kharif;Canal;Maize;North;16582;492;MOP
Clay;524;142;81;145;110;67;39;1625;5729;102655;Tomato;Vegetative;Kharif;Canal;Rice;Central;12316;401;MOP
Silt;484;5452;56;51;98;33;35;3705;3347;29523;Maize;Flowering;Kharif;Sprinkler;Sugarcane;West;25508;552;DAP
Clay;624;3359;144;62;137;24;104;1328;6406;253661;Maize;Flowering;Zaid;Drip;Cotton;South;6634;52;DAP
Silt;713;4719;31;119;26;31;51;320;5385;41968;Maize;Sowing;Kharif;Sprinkler;Wheat;West;29612;742;Urea
Silt;625;170;142;71;152;41;56;3035;4199;229566;Sugarcane;Flowering;Rabi;Canal;Tomato;South;24888;459;SSP
Sandy;561;4354;6;34;135;84;28;1219;8379;17790;Rice;Vegetative;Kharif;Sprinkler;Maize;West;21661;629;MOP
Clay;673;2182;87;205;122;51;113;3705;7416;83973;Potato;Vegetative;Rabi;Rainfed;Potato;North;6326;789;NPK
Sandy;589;3192;34;179;72;68;86;1949;4704;229042;Maize;Harvest;Rabi;Canal;Maize;Central;29496;542;Zinc Sulphate
Clay;823;1084;29;94;138;64;96;3223;6234;2845;Rice;Harvest;Rabi;Canal;Potato;North;24025;196;Zinc Sulphate
Clay;819;1758;76;236;22;14;92;1831;8779;224829;Sugarcane;Sowing;Zaid;Canal;Wheat;North;16288;797;Urea
Sandy;651;146;116;235;81;50;89;2577;4473;270681;Rice;Vegetative;Kharif;Sprinkler;Tomato;Central;25719;55;NPK
Sandy;581;2199;55;152;51;66;34;3917;8684;267132;Rice;Harvest;Rabi;Rainfed;Wheat;North;1346;792;Urea
Clay;745;150;93;38;21;62;99;2832;710;236255;Wheat;Vegetative;Kharif;Sprinkler;Sugarcane;East;15211;466;Urea
Loamy;465;446;56;276;99;47;94;1889;6245;281725;Maize;Harvest;Rabi;Sprinkler;Rice;North;21796;135;Compost
Silt;64;1145;71;204;143;10;27;2375;8899;218052;Tomato;Sowing;Rabi;Drip;Rice;West;28056;75;DAP
Sandy;585;4089;138;82;100;69;18;3028;5002;212284;Tomato;Harvest;Rabi;Canal;Maize;North;27986;721;MOP
Silt;818;1704;131;187;72;85;97;2336;4669;27334;Rice;Harvest;Kharif;Rainfed;Rice;Central;10904;441;Zinc Sulphate
Loamy;455;5726;87;127;159;55;113;3732;5038;68773;Maize;Harvest;Zaid;Rainfed;Rice;East;2105;343;Compost
Loamy;671;5665;51;194;143;13;26;3602;7505;23880;Wheat;Flowering;Zaid;Rainfed;Tomato;Central;27109;204;DAP
Loamy;746;2128;45;147;152;24;103;144;5022;299301;Wheat;Harvest;Rabi;Rainfed;Wheat;South;7595;75;DAP
Sandy;644;4072;144;151;23;21;13;3355;3617;221581;Rice;Sowing;Kharif;Rainfed;Wheat;Central;9644;466;Urea
Loamy;484;114;46;223;75;10;64;3827;6866;182352;Rice;Flowering;Kharif;Sprinkler;Wheat;North;24656;648;DAP
Sandy;839;5659;125;188;99;86;63;1951;4338;71357;Tomato;Sowing;Rabi;Rainfed;Wheat;South;19057;532;Zinc Sulphate
Loamy;657;3615;68;33;64;39;37;1715;3025;285415;Wheat;Sowing;Zaid;Sprinkler;Rice;Central;6411;182;DAP
Silt;696;1216;148;29;72;83;114;1029;4195;201925;Cotton;Harvest;Kharif;Drip;Potato;East;18364;133;DAP
Silt;545;2712;68;98;92;15;49;1347;7915;156931;Rice;Sowing;Kharif;Drip;Potato;South;28037;365;DAP
Clay;643;1384;66;135;35;82;18;3883;8641;261188;Tomato;Flowering;Kharif;Sprinkler;Wheat;West;9573;105;Urea
Silt;622;2965;103;9;112;59;45;2173;6972;286919;Cotton;Harvest;Kharif;Rainfed;Wheat;South;6711;248;Compost
Clay;48;435;145;199;132;11;17;2162;4863;123932;Potato;Flowering;Kharif;Canal;Potato;South;28661;742;DAP
Silt;492;3349;147;67;49;15;71;180;5619;16442;Sugarcane;Sowing;Rabi;Rainfed;Cotton;North;14496;506;Urea
Sandy;785;2919;112;214;39;84;95;1492;4167;52229;Sugarcane;Vegetative;Kharif;Rainfed;Potato;Central;24408;586;Urea
Silt;546;1596;118;234;125;86;98;2526;8285;288759;Tomato;Flowering;Rabi;Rainfed;Potato;South;2016;646;Compost
Clay;528;2225;93;46;106;47;58;317;6993;53789;Sugarcane;Sowing;Rabi;Sprinkler;Sugarcane;South;9682;763;Compost
Clay;652;1501;118;199;55;85;79;2652;3506;280128;Rice;Flowering;Rabi;Sprinkler;Potato;South;10042;207;Urea
Loamy;757;5037;132;289;41;27;99;1106;5202;7349;Tomato;Vegetative;Rabi;Rainfed;Tomato;Central;23567;503;Urea
Sandy;475;1676;83;66;148;28;51;341;6228;274457;Rice;Harvest;Rabi;Canal;Potato;East;20862;372;DAP
Silt;681;3977;101;274;40;37;11;3795;7784;146646;Sugarcane;Flowering;Rabi;Sprinkler;Cotton;Central;5373;367;Urea
Loamy;498;2714;9;186;24;21;40;2321;8523;185778;Cotton;Sowing;Kharif;Drip;Rice;East;17381;577;Urea
Silt;465;213;93;181;139;61;85;2099;3796;29974;Rice;Vegetative;Zaid;Rainfed;Wheat;South;2797;242;Compost
Silt;471;4197;136;25;101;86;28;169;8007;130428;Rice;Vegetative;Zaid;Drip;Tomato;Central;18312;544;MOP
Loamy;784;3285;66;227;98;67;110;1906;3395;15815;Maize;Harvest;Zaid;Drip;Rice;Central;5699;354;Zinc Sulphate
Loamy;497;3001;47;149;64;31;110;2933;4443;2264;Maize;Flowering;Kharif;Drip;Maize;Central;17233;183;DAP
Loamy;468;3964;79;219;77;54;74;331;3126;20504;Maize;Sowing;Rabi;Sprinkler;Rice;South;6131;694;Compost
Loamy;625;3456;47;245;64;71;83;1997;3383;254891;Wheat;Vegetative;Zaid;Sprinkler;Cotton;South;1632;20;NPK
Loamy;788;2517;85;162;57;51;69;2019;3195;26938;Rice;Vegetative;Zaid;Sprinkler;Cotton;East;23431;454;Urea
Silt;555;3795;137;86;70;76;71;2353;3876;15791;Sugarcane;Sowing;Kharif;Drip;Sugarcane;East;8275;294;DAP
Loamy;619;4347;10;51;43;18;69;1511;8259;29445;Wheat;Sowing;Zaid;Canal;Tomato;Central;13525;767;Urea
Sandy;466;1133;131;57;110;73;107;3782;4703;264522;Wheat;Harvest;Rabi;Drip;Wheat;West;9975;53;Compost
Clay;63;3329;42;261;44;24;25;3116;5878;65028;Wheat;Harvest;Zaid;Sprinkler;Cotton;North;14839;546;Urea
Loamy;681;1288;137;46;89;39;114;2301;5923;36387;Sugarcane;Harvest;Zaid;Sprinkler;Cotton;South;8739;48;DAP
Loamy;678;1932;98;122;68;35;16;1367;8972;260155;Wheat;Harvest;Rabi;Sprinkler;Rice;North;11797;727;DAP
Silt;583;3803;24;107;36;78;86;3546;5188;144462;Maize;Vegetative;Kharif;Sprinkler;Maize;North;8363;312;Urea
Loamy;576;5331;102;261;62;31;77;2451;4591;46715;Potato;Sowing;Kharif;Sprinkler;Tomato;North;15311;498;DAP
Loamy;493;5414;144;149;101;63;112;3391;8779;201417;Tomato;Vegetative;Rabi;Rainfed;Wheat;East;16789;257;Compost
Loamy;597;135;3;299;82;67;104;110;6555;217568;Wheat;Sowing;Rabi;Rainfed;Sugarcane;South;19676;237;Zinc Sulphate
Silt;49;3096;96;224;43;88;83;1821;4737;179134;Cotton;Sowing;Kharif;Drip;Potato;West;23914;437;Urea
Loamy;757;3915;139;257;52;62;21;2866;4725;112996;Maize;Vegetative;Kharif;Rainfed;Tomato;West;7598;292;Urea
Clay;837;1735;21;39;36;28;107;2464;3518;138856;Rice;Vegetative;Kharif;Sprinkler;Sugarcane;West;26731;624;Urea
Silt;838;4827;102;83;63;43;101;1885;6341;287355;Rice;Harvest;Kharif;Rainfed;Maize;Central;22492;13;Zinc Sulphate
Clay;796;4721;82;49;126;23;14;1603;7342;169621;Maize;Vegetative;Rabi;Drip;Potato;South;7699;182;DAP
Silt;69;5517;65;144;118;31;101;1905;5848;131177;Tomato;Sowing;Rabi;Drip;Potato;East;14488;534;DAP
Loamy;73;1042;102;218;48;22;56;3227;8307;218294;Potato;Harvest;Kharif;Canal;Maize;East;14453;153;Urea
Clay;564;2083;27;59;31;73;20;1551;5904;41324;Tomato;Flowering;Rabi;Rainfed;Tomato;Central;22603;323;Urea
Silt;702;5136;118;48;119;65;43;2781;5078;101264;Rice;Sowing;Rabi;Drip;Sugarcane;East;8745;538;MOP
Sandy;632;4353;21;188;146;81;88;2271;4505;83412;Sugarcane;Harvest;Kharif;Canal;Potato;South;6537;252;Compost
Loamy;643;5472;6;77;156;51;60;3289;446;210429;Sugarcane;Harvest;Zaid;Canal;Potato;Central;5626;645;SSP
Silt;753;1286;86;149;105;75;14;1605;4899;189096;Potato;Harvest;Zaid;Sprinkler;Potato;West;26686;772;MOP
Sandy;563;3985;69;25;72;72;57;181;8952;232642;Wheat;Vegetative;Zaid;Canal;Tomato;North;2047;755;NPK
Silt;577;3845;6;207;80;51;94;2196;5165;139496;Potato;Vegetative;Rabi;Sprinkler;Maize;West;5515;161;NPK
Sandy;82;1178;128;167;132;43;40;150;6148;68704;Tomato;Vegetative;Zaid;Rainfed;Cotton;North;28426;604;Zinc Sulphate
Loamy;472;3568;142;198;67;38;49;2384;4648;71192;Tomato;Flowering;Kharif;Rainfed;Potato;South;771;63;DAP
Clay;644;4048;134;9;127;35;16;2248;3861;269831;Cotton;Flowering;Zaid;Drip;Tomato;South;23717;224;DAP
Sandy;815;1956;88;91;98;32;108;397;6875;4097;Potato;Harvest;Kharif;Drip;Tomato;South;26367;166;DAP
Silt;694;2367;135;242;66;45;94;2782;6271;186354;Tomato;Flowering;Rabi;Drip;Cotton;East;21244;173;DAP
Loamy;669;4202;14;218;86;18;49;1208;3407;84868;Wheat;Flowering;Rabi;Rainfed;Tomato;South;6773;448;DAP
Sandy;55;3342;73;178;83;51;78;238;8297;79998;Cotton;Sowing;Kharif;Drip;Rice;Central;19169;711;NPK
Silt;587;529;57;192;141;76;23;3636;6046;47554;Potato;Vegetative;Zaid;Rainfed;Rice;East;16322;333;MOP
Silt;791;2712;33;37;63;16;107;360;5012;294199;Tomato;Sowing;Kharif;Rainfed;Rice;East;23975;216;DAP
Silt;674;2333;82;258;24;32;19;3885;7676;37076;Rice;Sowing;Kharif;Rainfed;Maize;East;11719;522;Urea
Sandy;656;5924;143;233;113;41;91;3683;3673;6137;Maize;Flowering;Kharif;Rainfed;Sugarcane;East;22386;363;DAP
Sandy;49;5556;93;181;98;32;90;1529;5843;122247;Wheat;Harvest;Kharif;Canal;Wheat;West;10065;788;DAP
Sandy;456;1145;107;276;58;25;111;1011;6293;147623;Potato;Harvest;Zaid;Rainfed;Tomato;South;22718;47;Urea
Clay;835;4854;35;59;121;78;58;2849;7651;286224;Sugarcane;Sowing;Kharif;Drip;Cotton;West;11559;111;Zinc Sulphate
Sandy;601;1552;39;209;111;22;105;3107;5221;87701;Tomato;Sowing;Kharif;Canal;Sugarcane;Central;29674;633;DAP
Sandy;691;1137;8;289;40;19;26;1394;813;221874;Wheat;Sowing;Zaid;Canal;Sugarcane;Central;28146;755;Urea
Sandy;482;2368;144;10;93;68;95;1501;7186;203789;Sugarcane;Flowering;Zaid;Drip;Sugarcane;West;17692;625;Compost
Clay;723;2347;67;14;47;11;98;3889;7626;164899;Maize;Sowing;Kharif;Sprinkler;Sugarcane;Central;2254;295;Urea
Sandy;823;5097;134;223;132;89;60;3831;8814;94497;Maize;Vegetative;Kharif;Drip;Maize;West;2537;706;Zinc Sulphate
Silt;68;4553;36;12;47;61;89;1471;8069;63858;Maize;Sowing;Zaid;Sprinkler;Cotton;East;22071;51;Urea
Sandy;50;5908;10;263;105;10;71;1741;5081;69426;Wheat;Sowing;Zaid;Sprinkler;Sugarcane;East;2534;461;DAP
Silt;683;4558;98;26;121;79;39;3676;6875;116878;Potato;Sowing;Kharif;Sprinkler;Wheat;North;12715;232;MOP
Silt;757;3091;132;199;38;63;64;2305;8212;58394;Sugarcane;Vegetative;Rabi;Sprinkler;Sugarcane;East;8037;40;Urea
Silt;613;4495;2;119;82;28;43;3394;6151;299603;Rice;Flowering;Rabi;Rainfed;Tomato;West;8089;586;DAP
Clay;802;5997;45;69;135;37;78;2188;7097;144829;Cotton;Vegetative;Rabi;Sprinkler;Maize;Central;21106;679;DAP
Clay;709;4551;49;27;57;14;117;3209;4034;170917;Maize;Vegetative;Rabi;Rainfed;Potato;West;16743;718;Urea
Clay;81;4808;143;226;65;85;42;219;7895;192608;Rice;Vegetative;Zaid;Drip;Potato;East;25468;486;Zinc Sulphate
Sandy;699;5692;4;109;111;39;14;3698;7545;7482;Wheat;Harvest;Rabi;Sprinkler;Tomato;North;6465;711;DAP
Silt;503;1568;25;92;28;28;113;1977;8333;154891;Cotton;Sowing;Kharif;Drip;Potato;West;18636;772;Urea
Clay;574;4524;89;223;28;51;51;2569;7261;37609;Potato;Vegetative;Zaid;Rainfed;Maize;West;897;593;Urea
Clay;531;5254;89;253;40;34;12;2565;8261;291367;Potato;Flowering;Zaid;Rainfed;Wheat;East;22614;707;Urea
Sandy;814;5772;13;218;43;44;72;2947;3973;152391;Potato;Sowing;Rabi;Drip;Wheat;South;13106;765;Urea
Clay;754;2055;143;196;114;18;47;192;7882;28305;Rice;Harvest;Rabi;Drip;Rice;East;10952;348;DAP
Sandy;721;352;9;76;112;48;22;2928;8718;187741;Potato;Harvest;Kharif;Sprinkler;Tomato;East;5202;673;MOP
Loamy;57;4403;141;257;59;65;17;1423;7893;48032;Potato;Harvest;Kharif;Rainfed;Rice;North;17793;53;Urea
Clay;524;2237;114;227;151;47;70;3681;6691;241195;Rice;Harvest;Zaid;Drip;Rice;Central;20075;641;Compost
Loamy;753;4002;54;16;150;24;39;1433;8559;28694;Potato;Harvest;Zaid;Drip;Cotton;South;22456;179;DAP
Sandy;64;2288;141;158;40;55;59;3521;3567;276637;Maize;Sowing;Kharif;Rainfed;Rice;South;29676;736;Urea
Silt;54;2667;107;175;27;46;78;3079;3101;139779;Rice;Harvest;Rabi;Canal;Sugarcane;Central;19138;604;Urea
Clay;697;3208;74;25;139;69;47;2023;8792;219523;Potato;Sowing;Rabi;Drip;Rice;Central;21307;276;MOP
Sandy;466;3646;108;225;129;71;68;1982;7098;63625;Rice;Vegetative;Kharif;Rainfed;Maize;East;19803;575;Compost
Silt;58;3247;72;258;148;40;104;3898;3685;41195;Potato;Harvest;Rabi;Rainfed;Wheat;Central;22208;561;NPK
Silt;637;3466;35;157;33;39;11;1585;504;249894;Cotton;Harvest;Rabi;Rainfed;Tomato;South;28045;487;Urea
Loamy;509;2493;113;191;95;75;66;3169;7493;214647;Tomato;Flowering;Rabi;Drip;Potato;North;29148;224;Compost
Sandy;844;1795;127;258;55;16;16;1551;7502;273977;Cotton;Sowing;Zaid;Rainfed;Tomato;West;19531;465;Urea
Silt;534;1237;115;77;136;39;89;3716;402;276085;Wheat;Sowing;Kharif;Sprinkler;Maize;Central;19712;546;DAP
Clay;502;198;5;139;64;42;19;3226;5821;117238;Maize;Harvest;Kharif;Drip;Wheat;Central;25743;486;MOP
Clay;531;391;144;19;30;47;38;3798;7844;109221;Maize;Flowering;Rabi;Rainfed;Maize;South;5395;334;Urea
Loamy;758;4931;23;275;86;28;103;3637;8801;143732;Tomato;Flowering;Kharif;Canal;Sugarcane;East;9822;592;DAP
Silt;62;1846;63;15;117;18;93;2648;6735;206391;Rice;Vegetative;Kharif;Canal;Maize;North;938;548;DAP
Sandy;676;1543;54;72;109;41;115;1457;6829;21397;Maize;Flowering;Zaid;Drip;Wheat;South;6805;263;NPK
Clay;458;4746;26;78;132;39;43;1664;5816;169691;Maize;Sowing;Kharif;Sprinkler;Cotton;North;13995;365;DAP
Silt;464;2526;73;105;109;15;81;1605;6234;25525;Tomato;Vegetative;Kharif;Drip;Tomato;Central;23801;43;DAP
Silt;628;5757;101;92;108;70;107;1662;3594;146189;Sugarcane;Harvest;Kharif;Sprinkler;Wheat;West;19886;696;DAP
Loamy;777;4572;135;181;30;46;107;2429;5098;43038;Tomato;Flowering;Rabi;Rainfed;Tomato;North;1169;173;Urea
Clay;804;2634;149;267;99;88;54;3603;6044;177421;Tomato;Harvest;Rabi;Drip;Wheat;West;27293;381;Zinc Sulphate
Clay;485;2448;125;195;103;80;109;1069;465;107997;Potato;Harvest;Rabi;Rainfed;Wheat;South;1281;166;Compost
Sandy;665;3618;81;8;125;87;80;1715;5159;154096;Tomato;Vegetative;Rabi;Rainfed;Tomato;North;18082;573;NPK
Clay;815;1396;114;26;135;29;67;279;8827;288154;Rice;Vegetative;Zaid;Canal;Wheat;South;6077;386;DAP
Sandy;605;1588;13;193;21;39;87;3596;3031;115471;Potato;Flowering;Rabi;Canal;Maize;Central;26023;305;Urea
Clay;782;1879;8;73;73;27;93;1892;4816;221399;Sugarcane;Sowing;Kharif;Rainfed;Rice;Central;29433;691;DAP
Loamy;503;4874;122;115;112;72;110;2148;6504;211323;Wheat;Flowering;Kharif;Drip;Cotton;North;2728;796;Compost
Clay;824;3569;83;239;26;70;42;212;4674;26330;Tomato;Vegetative;Zaid;Sprinkler;Rice;West;15215;61;Urea
Sandy;751;1053;7;224;59;66;104;1881;7059;113635;Cotton;Sowing;Rabi;Rainfed;Maize;South;8923;107;Urea
Sandy;827;4368;88;177;64;31;106;3096;4796;35702;Maize;Harvest;Kharif;Drip;Cotton;South;12566;781;DAP
Loamy;721;3118;108;52;151;58;99;2967;6829;291777;Maize;Sowing;Zaid;Sprinkler;Wheat;East;27906;198;NPK
Clay;595;3554;114;243;126;27;99;353;8099;12146;Tomato;Flowering;Zaid;Rainfed;Potato;South;29349;307;DAP
Clay;825;2071;66;99;53;70;60;3753;6952;74247;Sugarcane;Vegetative;Rabi;Sprinkler;Tomato;North;6497;391;Urea
Loamy;56;3759;94;234;27;87;73;3701;3299;275948;Tomato;Sowing;Zaid;Rainfed;Maize;East;8308;20;Urea
Clay;583;5896;138;198;51;77;47;262;7771;73371;Potato;Vegetative;Kharif;Rainfed;Rice;South;25527;398;Urea
Clay;73;1367;147;87;94;16;89;1557;4277;168052;Maize;Vegetative;Zaid;Canal;Rice;South;9296;731;DAP
Sandy;756;242;5;72;56;16;21;1666;6809;23154;Cotton;Sowing;Kharif;Canal;Cotton;North;14671;284;Urea
Clay;822;2215;45;48;55;74;72;2771;688;224684;Rice;Flowering;Rabi;Canal;Potato;South;5912;286;Urea
Clay;532;2243;108;8;29;49;74;3755;7822;2825;Sugarcane;Sowing;Kharif;Sprinkler;Wheat;North;10187;513;Urea
Loamy;769;2894;74;56;89;33;69;2591;6035;76682;Maize;Sowing;Rabi;Rainfed;Potato;East;9427;568;DAP
Loamy;745;5091;23;189;137;41;117;3807;5256;268778;Cotton;Flowering;Rabi;Rainfed;Cotton;South;25409;516;Compost
Silt;476;5564;65;184;114;19;29;1787;6108;174891;Maize;Flowering;Zaid;Canal;Cotton;East;6494;154;DAP
Sandy;605;2011;125;18;91;18;75;1259;6275;212422;Maize;Vegetative;Rabi;Rainfed;Rice;Central;19898;716;DAP
Clay;563;3715;124;196;142;48;104;3389;7929;132642;Rice;Vegetative;Kharif;Drip;Tomato;South;19608;614;NPK
Clay;572;4184;84;246;80;12;27;3638;423;228657;Sugarcane;Vegetative;Kharif;Rainfed;Wheat;East;28728;501;DAP
Silt;843;3609;81;275;55;78;51;2344;8081;100947;Potato;Vegetative;Zaid;Canal;Tomato;West;7497;412;Urea
Clay;707;317;95;77;57;16;83;1307;5194;84969;Tomato;Harvest;Rabi;Rainfed;Sugarcane;West;21047;782;Urea
Sandy;737;196;49;18;123;21;15;1127;7463;299191;Sugarcane;Vegetative;Rabi;Rainfed;Potato;North;23998;687;DAP
Silt;841;3441;88;33;111;32;75;1188;5014;64142;Cotton;Vegetative;Kharif;Drip;Potato;West;5204;282;DAP
Sandy;601;3006;21;45;25;72;89;2317;7253;294781;Tomato;Flowering;Rabi;Rainfed;Wheat;East;21191;539;Urea
Silt;771;4978;82;20;152;26;78;1704;7795;279423;Tomato;Harvest;Rabi;Drip;Wheat;South;7869;264;DAP
Silt;624;4818;64;151;111;87;111;2386;6348;220109;Potato;Sowing;Rabi;Canal;Tomato;North;20754;50;Zinc Sulphate
Loamy;798;167;108;23;20;73;95;2465;6717;182952;Potato;Harvest;Rabi;Drip;Potato;North;1217;612;Urea
